	AERIS_SRR5383463	AERIS_SRR5383475	AERIS_SRR5383487	AERIS_SRR5384368	AERIS_SRR5384381	AERIS_SRR5384382	AERIS_SRR5384388	AERIS_SRR5384404	AERIS_SRR5384406	AERIS_SRR5384417	AERIS_SRR5384418	AERIS_SRR5384423	AERIS_SRR5384431	AERIS_SRR5384435	AERIS_SRR5384439	AERIS_SRR5384442	AERIS_SRR5384450	AERIS_SRR5384453	AERIS_SRR5384565	AERIS_SRR5384566	AERIS_SRR5384567	AERIS_SRR5384577	AERIS_SRR5384578	AERIS_SRR5384589	AERIS_SRR5384590	AERIS_SRR5384591	AERIS_SRR5384598	AERIS_SRR5384599	AERIS_SRR5384600	AERIS_SRR5384610	AERIS_SRR5384611	AERIS_SRR5384612	AERIS_SRR5384623	AERIS_SRR5384624	AERIS_SRR5384634	AERIS_SRR5384635	AERIS_SRR5384646	AERIS_SRR5384647	AERIS_SRR5385010	AERIS_SRR5385012	AERIS_SRR5385013	AERIS_SRR5385014	AERIS_SRR5385016	AERIS_SRR5385019	AERIS_SRR5385024	AERIS_SRR5385025	AERIS_SRR5385026	AERIS_SRR5385029	AERIS_SRR5385030	AERIS_SRR5385031	AERIS_SRR5385032	AERIS_SRR5385033	AERIS_SRR5385034	AERIS_SRR5385035	AERIS_SRR5385036	AERIS_SRR5385037	AERIS_SRR5385040	AERIS_SRR5385041	AERIS_SRR5385042	AERIS_SRR5385044	AERIS_SRR5385046	AERIS_SRR5385049	AERIS_SRR5385050	AERIS_SRR5385051	AERIS_SRR5385056	AERIS_SRR5385057	AERIS_SRR5385058	COPDMAP_SRR5382995	COPDMAP_SRR5383008	COPDMAP_SRR5383024	COPDMAP_SRR5383025	COPDMAP_SRR5383026	COPDMAP_SRR5383027	COPDMAP_SRR5383028	COPDMAP_SRR5383029	COPDMAP_SRR5383030	COPDMAP_SRR5383031	COPDMAP_SRR5383033	COPDMAP_SRR5383034	COPDMAP_SRR5383036	COPDMAP_SRR5383037	COPDMAP_SRR5383038	COPDMAP_SRR5383039	COPDMAP_SRR5383040	COPDMAP_SRR5383041	COPDMAP_SRR5383042	COPDMAP_SRR5383043	COPDMAP_SRR5383044	COPDMAP_SRR5383051	COPDMAP_SRR5383052	COPDMAP_SRR5383055	COPDMAP_SRR5383056	COPDMAP_SRR5383057	COPDMAP_SRR5383058	COPDMAP_SRR5383059	COPDMAP_SRR5383060	COPDMAP_SRR5383061	COPDMAP_SRR5383063	COPDMAP_SRR5383064	COPDMAP_SRR5383065	COPDMAP_SRR5383068	COPDMAP_SRR5383069	COPDMAP_SRR5383161	COPDMAP_SRR5383167	COPDMAP_SRR5383189	COPDMAP_SRR5383245	COPDMAP_SRR5383246	COPDMAP_SRR5383247	COPDMAP_SRR5383248	COPDMAP_SRR5383252	COPDMAP_SRR5383253	COPDMAP_SRR5383254	COPDMAP_SRR5383255	COPDMAP_SRR5383256	COPDMAP_SRR5383257	COPDMAP_SRR5383258	COPDMAP_SRR5383261	COPDMAP_SRR5383263	COPDMAP_SRR5383264	COPDMAP_SRR5383278	COPDMAP_SRR5383281	COPDMAP_SRR5383284	COPDMAP_SRR5383290	COPDMAP_SRR5383291	COPDMAP_SRR5383292	COPDMAP_SRR5383295	COPDMAP_SRR5383298	COPDMAP_SRR5383299	COPDMAP_SRR5383310	COPDMAP_SRR5383313	COPDMAP_SRR5383314	COPDMAP_SRR5383318	COPDMAP_SRR5383320	COPDMAP_SRR5383324	COPDMAP_SRR5383325	COPDMAP_SRR5383329	COPDMAP_SRR5383331	COPDMAP_SRR5383332	COPDMAP_SRR5383333	COPDMAP_SRR5383335	COPDMAP_SRR5383336	COPDMAP_SRR5383340	COPDMAP_SRR5383342	COPDMAP_SRR5383343	COPDMAP_SRR5383344	COPDMAP_SRR5383345	COPDMAP_SRR5383346	COPDMAP_SRR5383347	COPDMAP_SRR5383348	COPDMAP_SRR5383349	COPDMAP_SRR5383350	COPDMAP_SRR5383351	COPDMAP_SRR5383352	COPDMAP_SRR5383353	COPDMAP_SRR5383354	COPDMAP_SRR5383355	COPDMAP_SRR5383356	COPDMAP_SRR5383357	COPDMAP_SRR5383358	COPDMAP_SRR5383359	COPDMAP_SRR5383361	COPDMAP_SRR5383362	COPDMAP_SRR5383363	COPDMAP_SRR5383365	COPDMAP_SRR5383366	COPDMAP_SRR5383367	COPDMAP_SRR5383368	COPDMAP_SRR5383369	COPDMAP_SRR5383371	COPDMAP_SRR5383373	COPDMAP_SRR5383374	COPDMAP_SRR5383375	COPDMAP_SRR5383377	COPDMAP_SRR5383378	COPDMAP_SRR5383379	COPDMAP_SRR5383387	COPDMAP_SRR5383388	COPDMAP_SRR5383389	COPDMAP_SRR5383390	COPDMAP_SRR5383391	COPDMAP_SRR5383392
Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99E-05	0	0	0	0	0	0	0	0	0	6.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	3.49E-05	0	0	0	0	7.00E-05	0	0	0	0	7.00E-05	0.000104822	3.48E-05	0	0	0	0.000174618	0	3.50E-05	3.50E-05	0	0	0.000104924	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104895	0	0	0	0	0	0	0	0	0	0.000140316	0	0	0	0.000210519	0	0	0	0	0	0	0	3.49E-05	0	0.000105252	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter	0	0	0.002937474	0.000594156	0	0.000628997	0	0	0.000313501	0	0	0	0	0.012886778	0	0	0.000594489	0.001363541	0	0.001118334	0	0	0.000313895	0	0	0	0	0	0	0.000417246	0	0	0	0	0	0.000420095	0.000872235	0.001083386	0	0.00059503	0.001188313	0.000104877	0	0	0.004335816	0	0.001431614	0	0.002204647	0.001503707	0	0	0.001782656	0	0.001466532	0.000735294	0	0	0	0	0	0.000245072	0	0.000139363	0	0.000766177	0	0.010129943	0	0	0	0	0	0	0	0.00062661	0	0	3.49E-05	0	0	0	0	0	0	0	0	0.00607012	0.005501437	0.00315115	3.49E-05	0	0	0.001258169	0	3.49E-05	3.51E-05	0	0	0	0	0.000139899	3.51E-05	0	3.51E-05	0	0.004205067	0.002696362	3.49E-05	0.00066501	0	0	3.51E-05	0	0	0	3.51E-05	0	0.000700109	0	0	0	0	3.50E-05	0	0	3.51E-05	3.51E-05	0	0	0.000663408	0	0	0	3.50E-05	3.51E-05	0	0.022759951	0	3.51E-05	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0.002521803	3.51E-05	0.00066655	0	3.49E-05	3.51E-05	3.49E-05	0	3.51E-05	3.51E-05	3.51E-05	0	0	0	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	3.51E-05	0	3.51E-05	0.00035057	3.51E-05	3.51E-05	0.00161166	3.51E-05	0	3.51E-05	3.49E-05	3.51E-05
Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000314432	0	0	0	0	0	0	0	0	0	0	0.000384992	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0.000489356	0	0	0	3.50E-05	0	0	0	0	0	3.50E-05	0	0.000174392	0	0	3.49E-05	0	0	3.49E-05	0	0.000138927	0	0	0	0	0	3.49E-05	0	0.000139082	0	0	0	0	0	0	0	0	0	3.49E-05	3.48E-05	0	0.000314542	0	3.49E-05	0	0	3.50E-05	0	3.50E-05	0.000104924	0.000140311	3.48E-05	0.000210305	0	0.000245296	0.000175088	0	0.000140002	0	0	0	0	0	0	3.51E-05	0	0.000140022	0	0	0	0	0	0.000175119	0	0	0	0	0.000244541	6.98E-05	0	0	0	0	0.000280672	0.000209886	0	6.98E-05	0.000140223	0	0	0	0	0	0	0	0	0	0	0	0.000210519	0.000140326	0	0	0	0	0	0	0.000280692	0	6.95E-05	0	6.99E-05	0	0	6.99E-05	3.49E-05	0.000175297	0	0	0	0.000105171	0	0	0	0	0	0	0.000174703	0
Akkermansia	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139836	0	0.000104544	0.000104899	0.000209183	0	0	0	0	3.50E-05	0	0.00034954	0	0	0	3.50E-05	0	0.000560204	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	0	0	0	0.000138927	0	0	0	0	0	3.49E-05	0.000558406	0.000104312	0.00024358	0	0	0.000560283	0	0.000452017	0.000139543	0	0.000455166	0.001327743	0	0.00028022	0.000768881	0	0.000977858	0.000841397	0.000349516	0.000279945	0.000490333	0.000490196	0.000524622	3.51E-05	0	0	0	0	0	0.000349247	0.000245004	6.97E-05	0	0	0	0.00034887	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0.000245571	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0	3.51E-05	0	0	3.49E-05	0	3.49E-05	0	0	3.51E-05	0	0	0	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0.000210342	3.51E-05	0	0	0	0	0.000771794	3.49E-05	3.51E-05
Alistipes	7.00E-05	7.00E-05	6.99E-05	3.50E-05	3.48E-05	3.49E-05	7.00E-05	3.48E-05	0	3.49E-05	0	7.00E-05	6.99E-05	3.49E-05	3.49E-05	7.00E-05	6.99E-05	6.99E-05	3.49E-05	3.49E-05	6.99E-05	7.00E-05	3.49E-05	3.49E-05	3.49E-05	7.00E-05	3.49E-05	3.49E-05	3.49E-05	0	3.49E-05	6.99E-05	0	7.00E-05	0	7.00E-05	3.49E-05	3.49E-05	7.00E-05	7.00E-05	3.50E-05	3.50E-05	3.48E-05	3.48E-05	6.99E-05	3.49E-05	3.49E-05	3.48E-05	7.00E-05	6.99E-05	7.01E-05	7.00E-05	3.50E-05	3.49E-05	3.49E-05	7.00E-05	7.01E-05	3.49E-05	7.00E-05	7.00E-05	3.49E-05	7.00E-05	7.01E-05	3.48E-05	3.49E-05	0	3.49E-05	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0.000383904	0.000243394	0.000208783	0.000348614	0.000279047	0.000630318	0.000209067	0.000278164	0.000139543	0.00070082	0.00063023	0.001222921	0.000313294	0.000350275	0.000489288	0.000104239	0.000977858	0.00077128	0.000419419	0.000524898	0.000700476	0.00035014	0.000699496	0.000140311	0	0	0	0.000105127	0.000175088	0.000174624	7.00E-05	3.48E-05	0	0.000280407	3.50E-05	6.98E-05	0	0.000175303	0.000175137	0.000140022	0.000175107	3.49E-05	0	0.000139943	0.000210246	0	0.000104983	0.000315546	0.000105245	0.000105046	0.000139738	6.98E-05	0.00010502	0	0	0.000105112	0.000140336	0.000209886	3.51E-05	0	0	6.98E-05	0.000210534	0.000140032	7.01E-05	0.000175371	0	0	0	0.000104983	0.000105024	3.50E-05	0.000175432	0.000175408	0	0.000314389	0.000280633	0.000244507	0.000104932	0.000140262	0.000280692	0	0	0.000105079	6.99E-05	7.02E-05	0	6.99E-05	0.00024455	0.000105178	0	0.000105035	0	0.000140228	0	0.000140252	0	0.000140257	0.00010498	0.000245571	6.99E-05	0
Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Alloiococcus	0	0	0	0	0	0	0	0	0.00069667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01E-05	0	0	0	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0.000490248	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0.004946501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	0.005344231	0	0	0	0	0	0	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Alloscardovia	0.000175015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104803	0.002904739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104752	0	0	0	0	0	0	0	0	0.000420168	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	3.48E-05	0	0	0.000104697	3.49E-05	0	0.000278164	0	0	0	0.000420212	0	0	0	0	0	3.49E-05	0	0	0.000104847	0	3.49E-05	0	0	0	0	0	0.000104924	3.51E-05	0.000418148	0	0	0	0	3.49E-05	0	0	0	0	0	0.000313983	0.000557181	0	0.000350275	0.000140022	0	0	0	0	0	0	0	3.51E-05	0	0	0.000279476	0	0	0	0	0.000595634	0	0	0	0	0	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0	0	0.000210489	0	3.49E-05	0	3.49E-05	0	0	0.001438546	0	0	0	0	0	0.001051857	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0.000771416	0	0	3.49E-05	3.51E-05
Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104745	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000313436	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Anaeroplasma	0	0	0	0	0	0	0	0	0.000348335	0.000104818	0	0	0	0	0	0	0	0	0.00034915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384548	6.96E-05	0	0	0	0	0	0.00031495	0	0.00028021	0	0	0	0	7.00E-05	3.50E-05	0	0.000210077	0.000524787	0	0.000105031	0	6.97E-05	0	0	3.49E-05	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	3.50E-05	0	3.49E-05	0	3.50E-05	0	0	3.49E-05	3.51E-05	0	0	3.50E-05	0	0.000139899	3.51E-05	0	3.51E-05	0	3.50E-05	0	3.49E-05	0	0	0	3.51E-05	3.50E-05	0	0	3.51E-05	3.50E-05	0	3.50E-05	0	0	0	3.50E-05	3.50E-05	0	3.51E-05	3.51E-05	0	0	0	0	0	0	3.50E-05	3.51E-05	0	3.51E-05	0	3.51E-05	0	3.51E-05	0	3.50E-05	3.51E-05	0	0	0	0	3.50E-05	3.50E-05	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	3.49E-05	0	3.51E-05	3.51E-05	3.51E-05	0	3.50E-05	0	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	3.51E-05	0	3.51E-05	3.51E-05	3.51E-05	3.51E-05	3.50E-05	3.51E-05	0	3.51E-05	3.49E-05	3.51E-05
Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0.00199517	0.00014009	0.000524549	0.000873759	0.000243826	0.001817102	0.003252886	6.97E-05	0.00149784	0.003843332	0.000486973	0.001399433	0.00010488	0.000104771	0.002724891	0.004759572	0.000384669	0.002866932	0.000104745	0.000279583	0.000209805	0.004761071	0.000732422	0.003319357	0.000244183	0.006157722	0.002900171	0.003074451	0.001746298	0.000452017	0.000104829	0.001398259	6.96E-05	0.003777809	0.00048716	0.000140032	0.001465355	0.000768854	0.00048999	0.003360168	0.001328114	0.000594302	6.96E-05	6.97E-05	0.00083919	0.000348639	0.003875834	0.000313327	0.000769877	0.001328857	0.000140105	0.001085016	0.00034954	0.002480696	0.00108244	0.001015406	0.00014011	0.00517157	0.000875319	0.000384844	6.98E-05	0.001785527	0.000630495	0.000766497	0.000418541	0.001253744	0.000768183	0.001187648	6.96E-05	0.000453879	0.000244439	0.001353838	0.002396499	0.000907061	0.000417827	0	0.001914842	0.000523487	0.00227106	0.000383904	0.001947149	0	0.000662367	0.000662737	0.001050531	6.97E-05	0.000278164	0.000104657	0.001646927	0.001540562	0.001537386	0.000487346	0.0014011	0.001397966	0.001633079	0.00069847	0.002278783	0.00020971	0.002134584	0.000665453	0.000805322	3.50E-05	0.001227726	0.001428671	0.001402033	0.000349406	0.001086309	0.00182092	0.001117592	0.000945014	0.000243775	0.000278784	0.002488608	0.000385397	0.000976835	0.00100989	0.001647851	0.004028162	0.002590402	0.000665406	0.000628667	0.000349028	0.000629745	0.001471722	0.000525357	0.001364782	0.002033518	0.001438344	0.002801219	0.00069869	0.000942737	0.002100399	0.000104479	0.00055687	0.001086157	0.001613865	0.000804562	0.001192355	0.000349199	0.001121784	0.000593016	0.002105337	0.000805181	0.002802102	0.000701484	0.000804196	0.00118302	0.000522557	0.000944849	0.001505339	0.001190851	0.00270166	0.001262936	0.000348833	0.002305516	0.001368085	0.001117748	0.00115425	0.001367557	0.001543805	0.001648198	0.000695434	0.002031524	0.000803915	0.000876947	0.001788156	0.000454625	0.002131079	0.001016723	0.001052521	0.001540508	0.001367078	0.001332165	0.001333193	0.000981767	0.001191227	0.002349311	0.000734857	0.001192773	0.002201258	0.001438496
Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Bacteroides	0.000210018	0.000210136	0.00017485	0.000174752	0.000104497	0.000174721	0.000174886	0.000104511	0.0001045	0.00171203	6.96E-05	0.000174929	0.000174801	0.02978976	0.000139738	0.000174984	0.00017485	0.000174813	0.00013966	0.001467813	0.000174837	0.000210047	0.000139509	0.000174703	0.000139533	0.000174935	0.008770397	0.000349369	0.000139704	6.95E-05	0.000139772	0.000174782	0.000104351	0.000174899	0.000104391	0.000210047	0.003000488	0.00017474	0.012879742	0.000210011	0.00947155	0.000174795	0.000104453	0.000104544	0.000174831	0.000104592	0.00013967	0.000104442	0.000174972	0.00017485	0.000210158	0.000175003	0.00199238	0.002969847	0.00013967	0.000210084	0.000210165	0.000174715	0.000210077	0.000174929	0.000139519	0.000175052	0.000210165	0.000104522	0.000139514	0.001915442	0.00013967	0.000489032	0	0.000244396	0.000384118	0	0	0.000174435	0.000139276	0	3.48E-05	0.000244294	0.001222878	0.001430915	0.000625869	0.000591551	0.001185288	0.000767379	0.002136079	0.00087111	0.001043115	0.000662829	0.002312706	0.002205805	0.003354298	0.001113935	0.001891485	0.001817356	0.000208478	0.002898652	0.002664423	0.001502918	0.002134584	0.002066405	0.001995798	0.001329043	0.000841869	0.000104537	0.000315457	0.000314465	0.000560676	0.00045523	0.000698495	0.000595009	0	0	0.000525762	0.000315325	0.00034887	0.000243767	0.000701213	0.000315247	0.000805125	7.00E-05	0.000139704	3.49E-05	0.000349858	0.000630738	0.000665453	0.000209966	0.000420728	7.02E-05	0.000455198	0.000279476	0.000209497	0.000280053	3.48E-05	0	0.000280299	0.000421008	0.000279847	0.000526039	0.00010476	0.000560892	0.000279067	0.00035089	0.000385087	0.000420315	0.000806706	0.000244755	3.48E-05	3.48E-05	0.000279955	0.00066515	0.000245175	0.000350865	0.000631468	0.0002093	0.000314389	0.000561266	0.000803381	0.000174886	0.00031559	0.000561384	0.000771497	0	0.000315236	0.000349528	7.02E-05	0.000175309	0.000279769	0.000663779	0.000736248	0.000561344	0.000350116	0.000876332	0.000771253	0.000736765	0.000701262	0.000525541	0.000210386	0.000454911	0.001298018	0.000314465	0.000105256
Bifidobacterium	0.000175015	0.000385248	0	0.000139801	0	0	0.002518363	0	0.000139334	0	0	0	0	0.000174618	0.000104803	0	0	0.00080414	0.00013966	0	0.000524512	0.001855417	6.98E-05	0	0	0	0.000139767	0	0	0	0	0.000244695	0	0.001294249	0	0	0.000418673	0	0.000874983	0.000105005	0.000279603	0.000384548	6.96E-05	3.48E-05	0.000139865	0	0	6.96E-05	0.000839866	0.000244789	0.000315236	0	0.000489356	0	0	0.000420168	0	0.000139772	0.001015371	0.000874646	0	7.00E-05	0.00112088	0.000348408	0.000139514	0.000139305	0.000209505	3.49E-05	0	0	0.000314279	6.94E-05	0	0.000279096	0	0	0	0	3.49E-05	0.001570516	0.002642559	0	0	0	3.50E-05	0	0	0	3.50E-05	0.000420153	0.004996506	0	3.50E-05	0	0.000451703	0.0011874	3.51E-05	0.00087379	0.000489904	3.50E-05	3.50E-05	0.000139899	3.51E-05	0	0.002032948	0	0.000245296	3.50E-05	3.49E-05	0.001190018	0	0	0.001121626	0.000700722	0	0	3.51E-05	0.005954674	0.00084013	3.50E-05	0.000873149	0	0	3.50E-05	3.50E-05	0	3.51E-05	0.002210139	3.50E-05	0	0.000977654	0.001225233	0	0	0.000560597	3.51E-05	0	3.51E-05	0	3.51E-05	0.000488366	3.51E-05	0	3.50E-05	3.51E-05	0	0	0	0	3.50E-05	0.000700501	3.51E-05	0.000982284	0	3.49E-05	3.51E-05	3.49E-05	0	3.51E-05	0.002806919	3.51E-05	0	3.50E-05	0.001258301	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	0.000421008	0	3.51E-05	0.001367222	3.51E-05	3.51E-05	3.50E-05	3.51E-05	0.000489904	0.000280653	3.49E-05	3.51E-05
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000174447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
